Tracker ID,Unit,Plant,Wiki page,Sponsor,Capacity (MW),Status,Region,Country,Subnational unit (province/state),Latitude,Longitude,Parent
G108106,Porto Romano Power Station Unit 1,Porto Romano Power Station,http://bit.ly/Ur1VP1,Enel,800,Cancelled,non-EU Europe,Albania,,41.371141,19.425201,Enel
G108783,San Nicolás-2 power station Unit 11,San Nicolás power station,http://bit.ly/1UqLug2,AES Argentina,350,Operating,Latin America,Argentina,Buenos Aires,-33.3549196,-60.1729168,AES
G108585,Río Turbio power station Unit 1,Río Turbio power station,http://bit.ly/1g7lD7Q,Isolux Corsán,120,Mothballed,Latin America,Argentina,Santa Cruz,-51.5460148,-72.2312558,Yacimientos Carboníferos de Río Turbio
G108586,Río Turbio power station Unit 2,Río Turbio power station,http://bit.ly/1g7lD7Q,Isolux Corsán,120,Construction,Latin America,Argentina,Santa Cruz,-51.5460148,-72.2312558,Yacimientos Carboníferos de Río Turbio
G100678,Bayswater B Power Station,Bayswater power station,http://bit.ly/1wanvqd,Macquarie Generation,2000,Cancelled,Australia/NZ,Australia,New South Wales,-32.395,150.9492,AGL Energy
G100679,Bayswater power station Unit 1,Bayswater power station,http://bit.ly/1wanvqd,Macquarie Generation,660,Operating,Australia/NZ,Australia,New South Wales,-32.3940422,150.9500828,AGL Energy
G100680,Bayswater power station Unit 2,Bayswater power station,http://bit.ly/1wanvqd,Macquarie Generation,660,Operating,Australia/NZ,Australia,New South Wales,-32.3940422,150.9500828,AGL Energy
G100681,Bayswater power station Unit 3,Bayswater power station,http://bit.ly/1wanvqd,Macquarie Generation,660,Operating,Australia/NZ,Australia,New South Wales,-32.3940422,150.9500828,AGL Energy
G100682,Bayswater power station Unit 4,Bayswater power station,http://bit.ly/1wanvqd,Macquarie Generation,660,Operating,Australia/NZ,Australia,New South Wales,-32.3940422,150.9500828,AGL Energy
G102667,Eraring power station Unit 1,Eraring power station,http://bit.ly/1gk9PVJ,Origin Energy Ltd,720,Operating,Australia/NZ,Australia,New South Wales,-33.0622305,151.5213592,Origin Energy
G102668,Eraring power station Unit 2,Eraring power station,http://bit.ly/1gk9PVJ,Origin Energy Ltd,720,Operating,Australia/NZ,Australia,New South Wales,-33.0622305,151.5213592,Origin Energy
G102669,Eraring power station Unit 3,Eraring power station,http://bit.ly/1gk9PVJ,Origin Energy Ltd,720,Operating,Australia/NZ,Australia,New South Wales,-33.0622305,151.5213592,Origin Energy
