Tracker ID,Unit,Chinese name,Plant,Wiki page,Sponsor,Parent,Capacity (MW),Status,Region,Country,Subnational unit (province/state),Latitude,Longitude,Year
G108106,Porto Romano Power Station Unit 1,,Porto Romano Power Station,http://bit.ly/Ur1VP1,Enel,Enel,800,Cancelled,non-EU Europe,Albania,,41.371141,19.425201,
G108783,San Nicolás-2 power station Unit 11,,San Nicolás power station,http://bit.ly/1UqLug2,AES Argentina,AES,350,Operating,Latin America,Argentina,Buenos Aires,-33.3549196,-60.1729168,1983
G108585,Río Turbio power station Unit 1,,Río Turbio power station,http://bit.ly/1g7lD7Q,Isolux Corsán,Yacimientos Carboníferos de Río Turbio,120,Mothballed,Latin America,Argentina,Santa Cruz,-51.5460148,-72.2312558,2015
G108586,Río Turbio power station Unit 2,,Río Turbio power station,http://bit.ly/1g7lD7Q,Isolux Corsán,Yacimientos Carboníferos de Río Turbio,120,Construction,Latin America,Argentina,Santa Cruz,-51.5460148,-72.2312558,2019
G100678,Bayswater B Power Station,,Bayswater power station,http://bit.ly/1wanvqd,Macquarie Generation,AGL Energy,2000,Cancelled,Australia/NZ,Australia,New South Wales,-32.395,150.9492,
G100679,Bayswater power station Unit 1,,Bayswater power station,http://bit.ly/1wanvqd,Macquarie Generation,AGL Energy,660,Operating,Australia/NZ,Australia,New South Wales,-32.3940422,150.9500828,1985
G100680,Bayswater power station Unit 2,,Bayswater power station,http://bit.ly/1wanvqd,Macquarie Generation,AGL Energy,660,Operating,Australia/NZ,Australia,New South Wales,-32.3940422,150.9500828,1985
G100681,Bayswater power station Unit 3,,Bayswater power station,http://bit.ly/1wanvqd,Macquarie Generation,AGL Energy,660,Operating,Australia/NZ,Australia,New South Wales,-32.3940422,150.9500828,1986
G100682,Bayswater power station Unit 4,,Bayswater power station,http://bit.ly/1wanvqd,Macquarie Generation,AGL Energy,660,Operating,Australia/NZ,Australia,New South Wales,-32.3940422,150.9500828,1986
G102667,Eraring power station Unit 1,,Eraring power station,http://bit.ly/1gk9PVJ,Origin Energy Ltd,Origin Energy,720,Operating,Australia/NZ,Australia,New South Wales,-33.0622305,151.5213592,1981
G102668,Eraring power station Unit 2,,Eraring power station,http://bit.ly/1gk9PVJ,Origin Energy Ltd,Origin Energy,720,Operating,Australia/NZ,Australia,New South Wales,-33.0622305,151.5213592,1982
G102669,Eraring power station Unit 3,,Eraring power station,http://bit.ly/1gk9PVJ,Origin Energy Ltd,Origin Energy,720,Operating,Australia/NZ,Australia,New South Wales,-33.0622305,151.5213592,1983
G102670,Eraring power station Unit 4,,Eraring power station,http://bit.ly/1gk9PVJ,Origin Energy Ltd,Origin Energy,720,Operating,Australia/NZ,Australia,New South Wales,-33.0622305,151.5213592,1984
G106281,Liddell power station Unit 1,,Liddell power station,http://bit.ly/1gkapTp,AGL Energy Ltd,AGL Energy,500,Operating,Australia/NZ,Australia,New South Wales,-32.3715996,150.9784213,1971
G106282,Liddell power station Unit 2,,Liddell power station,http://bit.ly/1gkapTp,AGL Energy Ltd,AGL Energy,500,Operating,Australia/NZ,Australia,New South Wales,-32.3715996,150.9784213,1972
G106283,Liddell power station Unit 3,,Liddell power station,http://bit.ly/1gkapTp,AGL Energy Ltd,AGL Energy,500,Operating,Australia/NZ,Australia,New South Wales,-32.3715996,150.9784213,1972
G106284,Liddell power station Unit 4,,Liddell power station,http://bit.ly/1gkapTp,AGL Energy Ltd,AGL Energy,500,Operating,Australia/NZ,Australia,New South Wales,-32.3715996,150.9784213,1973
G107053,Mount Piper power station Unit 1,,Mount Piper power station,http://bit.ly/1gkaGpg,EnergyAustralia Pty Ltd,CLP Group,700,Operating,Australia/NZ,Australia,New South Wales,-33.358087,150.032036,1993
G107054,Mount Piper power station Unit 2,,Mount Piper power station,http://bit.ly/1gkaGpg,EnergyAustralia Pty Ltd,CLP Group,700,Operating,Australia/NZ,Australia,New South Wales,-33.358087,150.032036,1996
G107055,Mount Piper power station Unit 3,,Mount Piper power station,http://bit.ly/1wanS49,EnergyAustralia Pty Ltd,CLP Group,750,Cancelled,Australia/NZ,Australia,New South Wales,-33.3586,150.0316,
G107056,Mount Piper power station Unit 4,,Mount Piper power station,http://bit.ly/1wanS49,EnergyAustralia Pty Ltd,CLP Group,750,Cancelled,Australia/NZ,Australia,New South Wales,-33.3586,150.0316,
G107114,Munmorah power station Unit 1,,Munmorah power station,http://bit.ly/1KuFNfJ,Delta Electricity,Delta Electricity,300,Retired,Australia/NZ,Australia,New South Wales,-33.2120806,151.5422158,1967
G107115,Munmorah power station Unit 2,,Munmorah power station,http://bit.ly/1KuFNfJ,Delta Electricity,Delta Electricity,300,Retired,Australia/NZ,Australia,New South Wales,-33.2120806,151.5422158,1968
G107116,Munmorah power station Unit 3,,Munmorah power station,http://bit.ly/1KuFNfJ,Delta Electricity,Delta Electricity,300,Retired,Australia/NZ,Australia,New South Wales,-33.2120806,151.5422158,1969
G107117,Munmorah power station Unit 4,,Munmorah power station,http://bit.ly/1KuFNfJ,Delta Electricity,Delta Electricity,300,Retired,Australia/NZ,Australia,New South Wales,-33.2120806,151.5422158,1969
G108506,Redbank power station Unit 1,,Redbank power station,http://bit.ly/1gkbcUs,Redbank Energy Ltd,Redbank Energy,151,Retired,Australia/NZ,Australia,New South Wales,-32.5805339,151.0714695,2001
G110540,Vales Point-B power station Unit 1,,Vales Point power station,http://bit.ly/1gkbomy,Sunset Power International,Sunset Power International,660,Operating,Australia/NZ,Australia,New South Wales,-33.1610116,151.5452521,1978
G110541,Vales Point-B power station Unit 2,,Vales Point power station,http://bit.ly/1gkbomy,Sunset Power International,Sunset Power International,660,Operating,Australia/NZ,Australia,New South Wales,-33.1610116,151.5452521,1979
G110700,Wallerawang-C power station Unit 1,,Wallerawang power station,http://bit.ly/1gkbCKr,EnergyAustralia Pty Ltd,CLP Group,500,Retired,Australia/NZ,Australia,New South Wales,-33.4023372,150.0837216,1976
G110701,Wallerawang-C power station Unit 2,,Wallerawang power station,http://bit.ly/1gkbCKr,EnergyAustralia Pty Ltd,CLP Group,500,Retired,Australia/NZ,Australia,New South Wales,-33.4023372,150.0837216,1976
G101159,Callide Oxyfuel Project,,Callide Oxyfuel Project,http://bit.ly/1T8a16c,CS Energy Corp Ltd,CS Energy,30,Retired,Australia/NZ,Australia,Queensland,-24.347222,150.6171146,2012
G101160,Callide-B power station Unit 1,,Callide power station,http://bit.ly/1gkbQB9,CS Energy Corp Ltd,CS Energy,350,Operating,Australia/NZ,Australia,Queensland,-24.347222,150.6171146,1989
G101161,Callide-B power station Unit 2,,Callide power station,http://bit.ly/1gkbQB9,CS Energy Corp Ltd,CS Energy,350,Operating,Australia/NZ,Australia,Queensland,-24.347222,150.6171146,1989
G101162,Callide-C power station Unit 1,,Callide power station,http://bit.ly/1gkbQB9,CS Energy Corp Ltd,CS Energy,460,Operating,Australia/NZ,Australia,Queensland,-24.347222,150.6171146,2001
G101163,Callide-C power station Unit 2,,Callide power station,http://bit.ly/1gkbQB9,CS Energy Corp Ltd,CS Energy,460,Operating,Australia/NZ,Australia,Queensland,-24.347222,150.6171146,2001
G101665,Collinsville power station Unit 1,,Collinsville power station,http://bit.ly/1gkcbE9,Ratch-Australia Corp Ltd,Ratchaburi Electricity Generating Holding,30,Retired,Australia/NZ,Australia,Queensland,-20.5450506,147.8045568,1968
G101666,Collinsville power station Unit 2,,Collinsville power station,http://bit.ly/1gkcbE9,Ratch-Australia Corp Ltd,Ratchaburi Electricity Generating Holding,30,Retired,Australia/NZ,Australia,Queensland,-20.5450506,147.8045568,1968
G101667,Collinsville power station Unit 3,,Collinsville power station,http://bit.ly/1gkcbE9,Ratch-Australia Corp Ltd,Ratchaburi Electricity Generating Holding,30,Retired,Australia/NZ,Australia,Queensland,-20.5450506,147.8045568,1970
G101668,Collinsville power station Unit 4,,Collinsville power station,http://bit.ly/1gkcbE9,Ratch-Australia Corp Ltd,Ratchaburi Electricity Generating Holding,30,Retired,Australia/NZ,Australia,Queensland,-20.5450506,147.8045568,1971
G101669,Collinsville power station Unit 5,,Collinsville power station,http://bit.ly/1gkcbE9,Ratch-Australia Corp Ltd,Ratchaburi Electricity Generating Holding,60,Retired,Australia/NZ,Australia,Queensland,-20.5450506,147.8045568,1974
G102904,Galilee Basin Power Project Unit 1,,Galilee Basin Power Project,http://bit.ly/1qcQYNq,No proponent,No proponent,600,Shelved,Australia/NZ,Australia,Queensland,-21.149203,144.799206,
G102905,Galilee Basin Power Project Unit 2,,Galilee Basin Power Project,http://bit.ly/1qcQYNq,No proponent,No proponent,600,Shelved,Australia/NZ,Australia,Queensland,-21.149203,144.799206,
G102906,Galilee Power project Unit 1,,Galilee Power project,http://bit.ly/1wao9Uu,Waratah Coal,Mineralogy,450,Shelved,Australia/NZ,Australia,Queensland,-23.473166,146.551237,
G102907,Galilee Power project Unit 2,,Galilee Power project,http://bit.ly/1wao9Uu,Waratah Coal,Mineralogy,450,Shelved,Australia/NZ,Australia,Queensland,-23.473166,146.551237,
G103048,Gladstone power station Unit 1,,Gladstone power station,http://bit.ly/1gkcuyA,NRG Gladstone,"Rio Tinto, NRG Energy",280,Operating,Australia/NZ,Australia,Queensland,-23.8506672,151.2197108,1976
G103049,Gladstone power station Unit 2,,Gladstone power station,http://bit.ly/1gkcuyA,NRG Gladstone,"Rio Tinto, NRG Energy",280,Operating,Australia/NZ,Australia,Queensland,-23.8506672,151.2197108,1977
G103050,Gladstone power station Unit 3,,Gladstone power station,http://bit.ly/1gkcuyA,NRG Gladstone,"Rio Tinto, NRG Energy",280,Operating,Australia/NZ,Australia,Queensland,-23.8506672,151.2197108,1978
G103051,Gladstone power station Unit 4,,Gladstone power station,http://bit.ly/1gkcuyA,NRG Gladstone,"Rio Tinto, NRG Energy",280,Operating,Australia/NZ,Australia,Queensland,-23.8506672,151.2197108,1979
G103052,Gladstone power station Unit 5,,Gladstone power station,http://bit.ly/1gkcuyA,NRG Gladstone,"Rio Tinto, NRG Energy",280,Operating,Australia/NZ,Australia,Queensland,-23.8506672,151.2197108,1981
G103053,Gladstone power station Unit 6,,Gladstone power station,http://bit.ly/1gkcuyA,NRG Gladstone,"Rio Tinto, NRG Energy",280,Operating,Australia/NZ,Australia,Queensland,-23.8506672,151.2197108,1982
G105802,Kogan Creek power station Unit 1,,Kogan Creek power station,http://bit.ly/1LPHHor,CS Energy Corp Ltd,CS Energy,750,Operating,Australia/NZ,Australia,Queensland,-26.9178813,150.7507382,2007
G106926,Millmerran power station Unit 1,,Millmerran power station,http://bit.ly/1T2dAkh,Millmerran Power Management Pty Ltd,"China Huaneng, Intergen",440,Operating,Australia/NZ,Australia,Queensland,-27.9606961,151.2793012,2002
G106927,Millmerran power station Unit 2,,Millmerran power station,http://bit.ly/1T2dAkh,Millmerran Power Management Pty Ltd,"China Huaneng, Intergen",440,Operating,Australia/NZ,Australia,Queensland,-27.9606961,151.2793012,2003
G107015,Moray power station,,Moray power station,http://bit.ly/1DHWTRn,Moray Power,RCR Tomlinson,150,Cancelled,Australia/NZ,Australia,Queensland,-22.0124509,146.3835526,2018
G109599,Stanwell power station Unit 1,,Stanwell power station,http://bit.ly/1T2dYzi,Stanwell Corp Ltd,Stanwell,365,Operating,Australia/NZ,Australia,Queensland,-23.5091135,150.3178014,1993
G109600,Stanwell power station Unit 2,,Stanwell power station,http://bit.ly/1T2dYzi,Stanwell Corp Ltd,Stanwell,365,Operating,Australia/NZ,Australia,Queensland,-23.5091135,150.3178014,1994
G109601,Stanwell power station Unit 3,,Stanwell power station,http://bit.ly/1T2dYzi,Stanwell Corp Ltd,Stanwell,365,Operating,Australia/NZ,Australia,Queensland,-23.5091135,150.3178014,1995
G109602,Stanwell power station Unit 4,,Stanwell power station,http://bit.ly/1T2dYzi,Stanwell Corp Ltd,Stanwell,365,Operating,Australia/NZ,Australia,Queensland,-23.5091135,150.3178014,1996
G109771,Swanbank-B power station Unit 1,,Swanbank-B power station,http://bit.ly/1T2ezkx,Stanwell Corp Ltd,Stanwell,125,Retired,Australia/NZ,Australia,Queensland,-27.6605357,152.8128991,1970
G109772,Swanbank-B power station Unit 2,,Swanbank-B power station,http://bit.ly/1T2ezkx,Stanwell Corp Ltd,Stanwell,125,Retired,Australia/NZ,Australia,Queensland,-27.6605357,152.8128991,1971
G109773,Swanbank-B power station Unit 3,,Swanbank-B power station,http://bit.ly/1T2ezkx,Stanwell Corp Ltd,Stanwell,125,Retired,Australia/NZ,Australia,Queensland,-27.6605357,152.8128991,1972
G109774,Swanbank-B power station Unit 4,,Swanbank-B power station,http://bit.ly/1T2ezkx,Stanwell Corp Ltd,Stanwell,125,Retired,Australia/NZ,Australia,Queensland,-27.6605357,152.8128991,1973
G109976,Tarong North power station Unit 1,,Tarong North power station,http://bit.ly/1T2eZrj,Stanwell Corp Ltd,Stanwell,445,Operating,Australia/NZ,Australia,Queensland,-26.7772926,151.9143108,2003
G109977,Tarong power station Unit 1,,Tarong power station,http://bit.ly/1T2fgu7,Stanwell Corp Ltd,Stanwell,350,Operating,Australia/NZ,Australia,Queensland,-26.7836883,151.9152739,1984
G109978,Tarong power station Unit 3,,Tarong power station,http://bit.ly/1T2fgu7,Stanwell Corp Ltd,Stanwell,350,Operating,Australia/NZ,Australia,Queensland,-26.7836883,151.9152739,1985
G110713,Wandoan Power Project,,Wandoan Power Project,http://bit.ly/2aIB0eY,"GE Energy, Stanwell Corporation","GE Energy, Stanwell Corporation",400,Cancelled,Australia/NZ,Australia,Queensland,-26.133333,149.95,
G111551,ZeroGen IGCC with CCS,,ZeroGen,http://bit.ly/27UiYeq,Stanwell Corp Ltd,ZeroGen,500,Cancelled,Australia/NZ,Australia,Queensland,-23.5091135,150.3178014,
G100329,Arckaringa Coal-to-Liquids and Power Project Phase I,,Arckaringa Coal-to-Liquids and Power Project,http://bit.ly/1qcTYcN,Ackaringa Energy,Altona Resources,560,Cancelled,Australia/NZ,Australia,South Australia,-27.938926,134.726094,
G100330,Arckaringa Coal-to-Liquids and Power Project Phase II,,Arckaringa Coal-to-Liquids and Power Project,http://bit.ly/1qcTYcN,Ackaringa Energy,Altona Resources,280,Cancelled,Australia/NZ,Australia,South Australia,-27.938926,134.726094,
G107521,Northern Augusta power station Unit 1,,Northern Augusta power station,http://bit.ly/1T2g1U5,Alinta Energy Ltd,Alinta Energy,260,Retired,Australia/NZ,Australia,South Australia,-32.5425183,137.7878496,1984
G107522,Northern Augusta power station Unit 2,,Northern Augusta power station,http://bit.ly/1T2g1U5,Alinta Energy Ltd,Alinta Energy,260,Retired,Australia/NZ,Australia,South Australia,-32.5425183,137.7878496,1985
G108028,Playford power station Unit 1,,Playford power station,http://bit.ly/1NYwnFW,Alinta Energy Ltd,Alinta Energy,60,Retired,Australia/NZ,Australia,South Australia,-32.538523,137.782198,1963
G108029,Playford power station Unit 2,,Playford power station,http://bit.ly/1NYwnFW,Alinta Energy Ltd,Alinta Energy,60,Retired,Australia/NZ,Australia,South Australia,-32.538523,137.782198,1963
G108030,Playford power station Unit 3,,Playford power station,http://bit.ly/1NYwnFW,Alinta Energy Ltd,Alinta Energy,60,Retired,Australia/NZ,Australia,South Australia,-32.538523,137.782198,1963
G108031,Playford power station Unit 4,,Playford power station,http://bit.ly/1NYwnFW,Alinta Energy Ltd,Alinta Energy,60,Retired,Australia/NZ,Australia,South Australia,-32.538523,137.782198,1963
G110928,Whyalla Works 1,,Whyalla Works power station,http://bit.ly/1RdGtIe,Liberty OneSteel,Liberty House Group,30,Operating,Australia/NZ,Australia,South Australia,-33.033333,137.566667,1941
G110929,Whyalla Works 2,,Whyalla Works power station,http://bit.ly/1RdGtIe,Liberty OneSteel,Liberty House Group,30,Operating,Australia/NZ,Australia,South Australia,-33.033333,137.566667,1969
G100202,Anglesea power station Unit 1,,Anglesea power station,http://bit.ly/1T2gvtt,Alcoa of Australia,Alcoa,160,Retired,Australia/NZ,Australia,Victoria,-38.3865497,144.1820619,1969
G102469,Dual Gas power station Unit 1,,Dual Gas power station,http://bit.ly/1iU7Uri,Dual Gas,HRL Holdings,300,Cancelled,Australia/NZ,Australia,Victoria,-38.251967,146.41634,
G102470,Dual Gas power station Unit 2,,Dual Gas power station,http://bit.ly/1iU7Uri,Dual Gas,HRL Holdings,300,Cancelled,Australia/NZ,Australia,Victoria,-38.251967,146.41634,
G102644,Energy Brix power station Unit 2,,Energy Brix power station,http://bit.ly/1T2lHxv,Energy Brix Australia Ltd,HRL Holdings,30,Retired,Australia/NZ,Australia,Victoria,-38.2539704,146.4136665,1958
G102645,Energy Brix power station Unit 3,,Energy Brix power station,http://bit.ly/1T2lHxv,Energy Brix Australia Ltd,HRL Holdings,30,Retired,Australia/NZ,Australia,Victoria,-38.2539704,146.4136665,1959
G102646,Energy Brix power station Unit 4,,Energy Brix power station,http://bit.ly/1T2lHxv,Energy Brix Australia Ltd,HRL Holdings,30,Retired,Australia/NZ,Australia,Victoria,-38.2539704,146.4136665,1959
G113572,Energy Brix power station Unit 5,,Energy Brix power station,http://bit.ly/1T2lHxv,Energy Brix Australia Ltd,HRL Holdings,60,Retired,Australia/NZ,Australia,Victoria,-38.2539704,146.4136665,1962
G103693,Hazelwood power station Unit 1,,Hazelwood power station,http://bit.ly/1T2k3Mc,GDF Suez Australian Energy Ltd,Engie,200,Retired,Australia/NZ,Australia,Victoria,-38.2718333,146.3908786,1964
G103694,Hazelwood power station Unit 2,,Hazelwood power station,http://bit.ly/1T2k3Mc,GDF Suez Australian Energy Ltd,Engie,200,Retired,Australia/NZ,Australia,Victoria,-38.2718333,146.3908786,1965
G103695,Hazelwood power station Unit 3,,Hazelwood power station,http://bit.ly/1T2k3Mc,GDF Suez Australian Energy Ltd,Engie,200,Retired,Australia/NZ,Australia,Victoria,-38.2718333,146.3908786,1966
G103696,Hazelwood power station Unit 4,,Hazelwood power station,http://bit.ly/1T2k3Mc,GDF Suez Australian Energy Ltd,Engie,200,Retired,Australia/NZ,Australia,Victoria,-38.2718333,146.3908786,1967
G103697,Hazelwood power station Unit 5,,Hazelwood power station,http://bit.ly/1T2k3Mc,GDF Suez Australian Energy Ltd,Engie,200,Retired,Australia/NZ,Australia,Victoria,-38.2718333,146.3908786,1968
G103698,Hazelwood power station Unit 6,,Hazelwood power station,http://bit.ly/1T2k3Mc,GDF Suez Australian Energy Ltd,Engie,200,Retired,Australia/NZ,Australia,Victoria,-38.2718333,146.3908786,1969
G103699,Hazelwood power station Unit 7,,Hazelwood power station,http://bit.ly/1T2k3Mc,GDF Suez Australian Energy Ltd,Engie,200,Retired,Australia/NZ,Australia,Victoria,-38.2718333,146.3908786,1970
G103700,Hazelwood power station Unit 8,,Hazelwood power station,http://bit.ly/1T2k3Mc,GDF Suez Australian Energy Ltd,Engie,200,Retired,Australia/NZ,Australia,Victoria,-38.2718333,146.3908786,1971
G106430,Loy Yang-A power station Unit 1,,Loy Yang A power station,http://bit.ly/1T2kWEA,Loy Yang Power Management,"AGL Energy, TEPCO, RATCH-Australia, MTAA Super",560,Operating,Australia/NZ,Australia,Victoria,-38.2524141,146.5753338,1984
G106431,Loy Yang-A power station Unit 2,,Loy Yang A power station,http://bit.ly/1T2kWEA,Loy Yang Power Management,"AGL Energy, TEPCO, RATCH-Australia, MTAA Super",535,Operating,Australia/NZ,Australia,Victoria,-38.2524141,146.5753338,1984
G106432,Loy Yang-A power station Unit 3,,Loy Yang A power station,http://bit.ly/1T2kWEA,Loy Yang Power Management,"AGL Energy, TEPCO, RATCH-Australia, MTAA Super",560,Operating,Australia/NZ,Australia,Victoria,-38.2524141,146.5753338,1987
G106433,Loy Yang-A power station Unit 4,,Loy Yang A power station,http://bit.ly/1T2kWEA,Loy Yang Power Management,"AGL Energy, TEPCO, RATCH-Australia, MTAA Super",560,Operating,Australia/NZ,Australia,Victoria,-38.2524141,146.5753338,1987
G106434,Loy Yang-B power station Unit 1,,Loy Yang B power station,http://bit.ly/1T2lcDy,Alinta Energy Ltd,Chow Tai Fook Enterprises,513,Operating,Australia/NZ,Australia,Victoria,-38.2555027,146.5860184,1993
G106435,Loy Yang-B power station Unit 2,,Loy Yang B power station,http://bit.ly/1T2lcDy,Alinta Energy Ltd,Chow Tai Fook Enterprises,513,Operating,Australia/NZ,Australia,Victoria,-38.2555027,146.5860184,1996
G112951,SEAPED briquette and power plant,,SEAPED briquette and power plant,http://bit.ly/1sSWpEW,Shanghai Electric Australia Power & Energy Development,State Power Investment Corporation,unknown,Cancelled,Australia/NZ,Australia,Victoria,-38.254001,146.57434,
G111273,Yallourn-W power station Unit 1,,Yallourn-W power station,http://bit.ly/1T2mkHg,EnergyAustralia Pty Ltd,CLP Group,360,Operating,Australia/NZ,Australia,Victoria,-38.177284,146.3442097,1973
G111274,Yallourn-W power station Unit 2,,Yallourn-W power station,http://bit.ly/1T2mkHg,EnergyAustralia Pty Ltd,CLP Group,360,Operating,Australia/NZ,Australia,Victoria,-38.177284,146.3442097,1975
G111275,Yallourn-W power station Unit 3,,Yallourn-W power station,http://bit.ly/1T2mkHg,EnergyAustralia Pty Ltd,CLP Group,380,Operating,Australia/NZ,Australia,Victoria,-38.177284,146.3442097,1981
G111276,Yallourn-W power station Unit 4,,Yallourn-W power station,http://bit.ly/1T2mkHg,EnergyAustralia Pty Ltd,CLP Group,380,Operating,Australia/NZ,Australia,Victoria,-38.177284,146.3442097,1982
G100962,Bluewaters power station Unit 1,,Bluewaters power station,http://bit.ly/1wasRSc,Summit Southern Cross Power Holdings,"KEPCO, Sumitomo",233,Operating,Australia/NZ,Australia,Western Australia,-33.3321861,116.2280227,2009
G100963,Bluewaters power station Unit 2,,Bluewaters power station,http://bit.ly/1wasRSc,Summit Southern Cross Power Holdings,"KEPCO, Sumitomo",233,Operating,Australia/NZ,Australia,Western Australia,-33.3321861,116.2280227,2009
G100964,Bluewaters Power Station Unit 3,,Bluewaters power station,http://bit.ly/1wasRSc,Summit Southern Cross Power Holdings,"KEPCO, Sumitomo",208,Shelved,Australia/NZ,Australia,Western Australia,-33.3321861,116.2280227,
G100965,Bluewaters Power Station Unit 4,,Bluewaters power station,http://bit.ly/1wasRSc,Summit Southern Cross Power Holdings,"KEPCO, Sumitomo",208,Shelved,Australia/NZ,Australia,Western Australia,-33.3321861,116.2280227,
G101664,Collie power station Unit 1,,Collie power station,http://bit.ly/1T2nhzf,Verve Energy,Verve Energy,350,Operating,Australia/NZ,Australia,Western Australia,-33.3430939,116.2608474,1999
G101697,Coolimba Power Station Unit 1,,Coolimba power station,http://bit.ly/1watk74,Coolimba Power,Westgen,150,Cancelled,Australia/NZ,Australia,Western Australia,-29.816667,115.266667,
G101698,Coolimba Power Station Unit 2,,Coolimba power station,http://bit.ly/1watk74,Coolimba Power,Westgen,150,Cancelled,Australia/NZ,Australia,Western Australia,-29.816667,115.266667,
G101699,Coolimba Power Station Unit 3,,Coolimba power station,http://bit.ly/1watk74,Coolimba Power,Westgen,150,Cancelled,Australia/NZ,Australia,Western Australia,-29.816667,115.266667,
G106053,Kwinana-A power station Unit 1,,Kwinana power station,http://bit.ly/1T2nsdS,Verve Energy,Verve Energy,120,Retired,Australia/NZ,Australia,Western Australia,-32.1983369,115.7751554,1970
G106054,Kwinana-A power station Unit 2,,Kwinana power station,http://bit.ly/1T2nsdS,Verve Energy,Verve Energy,120,Retired,Australia/NZ,Australia,Western Australia,-32.1983369,115.7751554,1971
